2026-06-22 14:45:42 WARNING sepa.intraday  intraday VSXY: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:42 WARNING sepa.intraday  intraday GTX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:42 WARNING sepa.intraday  intraday CROX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:42 ERROR   yfinance  $MIRM: possibly delisted; no price data found  (period=1d)
2026-06-22 14:45:42 ERROR   yfinance  
1 Failed download:
2026-06-22 14:45:42 ERROR   yfinance  ['MIRM']: possibly delisted; no price data found  (period=1d)
2026-06-22 14:45:43 WARNING sepa.intraday  intraday MATX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:43 WARNING sepa.intraday  intraday PRM: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:43 WARNING sepa.intraday  intraday AXTI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:44 WARNING sepa.intraday  intraday PACS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:44 WARNING sepa.intraday  intraday IRDM: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:44 WARNING sepa.intraday  intraday SYNA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:45 WARNING sepa.intraday  intraday ACLS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:45 WARNING sepa.intraday  intraday AIR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:45 WARNING sepa.intraday  intraday HNGE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:45 WARNING sepa.intraday  intraday HCC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:46 WARNING sepa.intraday  intraday WSC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:46 WARNING sepa.intraday  intraday LUNR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:46 WARNING sepa.intraday  intraday HRI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:46 WARNING sepa.intraday  intraday XMTR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:47 WARNING sepa.intraday  intraday ENVA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:47 WARNING sepa.intraday  intraday RXO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:47 WARNING sepa.intraday  intraday LBRT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:48 WARNING sepa.intraday  intraday MRX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:48 WARNING sepa.intraday  intraday TVTX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:48 WARNING sepa.intraday  intraday COCO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:49 WARNING sepa.intraday  intraday FLNC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:49 WARNING sepa.intraday  intraday LIVN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:49 WARNING sepa.intraday  intraday VECO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:50 WARNING sepa.intraday  intraday ERAS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:50 WARNING sepa.intraday  intraday CMBT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:50 WARNING sepa.intraday  intraday SEZL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:51 WARNING sepa.intraday  intraday BBAR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:51 WARNING sepa.intraday  intraday ORKA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:52 WARNING sepa.intraday  intraday BFH: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:52 WARNING sepa.intraday  intraday LION: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:52 WARNING sepa.intraday  intraday ZGN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:53 WARNING sepa.intraday  intraday PII: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:53 WARNING sepa.intraday  intraday YETI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:54 WARNING sepa.intraday  intraday APLE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:54 WARNING sepa.intraday  intraday GEO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:54 WARNING sepa.intraday  intraday VCYT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:55 WARNING sepa.intraday  intraday TXG: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:55 WARNING sepa.intraday  intraday DAVE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:55 WARNING sepa.intraday  intraday SEDG: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:56 WARNING sepa.intraday  intraday OGN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:56 WARNING sepa.intraday  intraday CECO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:56 WARNING sepa.intraday  intraday INOD: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:57 WARNING sepa.intraday  intraday PENG: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:57 WARNING sepa.intraday  intraday VAC: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:57 WARNING sepa.intraday  intraday KYIV: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:57 WARNING sepa.intraday  intraday HIMX: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:58 WARNING sepa.intraday  intraday KALU: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:58 WARNING sepa.intraday  intraday ARQT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:58 WARNING sepa.intraday  intraday BEAM: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:58 WARNING sepa.intraday  intraday UNIT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:59 WARNING sepa.intraday  intraday CLMT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:59 ERROR   yfinance  $PHIN: possibly delisted; no price data found  (period=1d)
2026-06-22 14:45:59 ERROR   yfinance  
1 Failed download:
2026-06-22 14:45:59 ERROR   yfinance  ['PHIN']: possibly delisted; no price data found  (period=1d)
2026-06-22 14:45:59 WARNING sepa.intraday  intraday UNFI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:59 WARNING sepa.intraday  intraday ADPT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:59 WARNING sepa.intraday  intraday FSLY: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:00 WARNING sepa.intraday  intraday RCUS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:00 WARNING sepa.intraday  intraday DK: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:00 WARNING sepa.intraday  intraday ERO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:00 WARNING sepa.intraday  intraday VISN: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:46:01 WARNING sepa.intraday  intraday PENN: float() argument must be a string or a real number, not 'Series'
